feature,importance_mean,importance_std
recency,0.013285883748517201,0.005830702599024711
tenure_days,0.006405693950177915,0.0005811363565321875
monetary,0.003558718861209953,0.0049196776638974265
avg_order_value,0.003558718861209953,0.008354361500194047
unique_products,0.002135231316725972,0.004204043925662941
active_days,0.001423487544483981,0.00516525291982851
orders_per_active_day,0.001423487544483981,0.001573724692932569
frequency,0.0011862396204033177,0.004624813449494155
total_quantity,-0.007591933570581255,0.00803146423715814
